Analysis Name,Condition,pH,EC(S) (uS/cm),P (ppm),K (ppm),Ca (ppm),Mg (ppm),Mn (ppm),S (ppm),Cu (ppm),B (ppm),Zn (ppm),Na (ppm),Fe (ppm),C.E.C (meq/100g),N (%),T-C (%),%Sand (%),%Silt (%),%Clay (%),Ca% (%),Mg% (%),K% (%),Na% (%),OB% (%),H% (%),Ca:Mg (%),Latitude,Longitude,Region,Texture,Recommandation
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.69,45.5,8.05,68.8,502.0,99.6,26.2,5.52,0.58,0.27,0.52,23.1,64.4,3.99,0.018,0.2,95.7,3.56,0.72,62.9,20.8,4.42,2.52,4.71,4.65,3.02,15.91231,-16.28594,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,7.78,62.9,73.1,122,1100.0,131.0,79.6,6.88,0.85,0.54,0.95,18.6,68.9,7.25,0.02,0.22,90.7,8.92,0.36,75.9,15.1,4.32,1.12,3.62,0.0,5.04,15.90598,-16.29056,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,7.07,62.2,91.7,141,955.0,128.0,61.0,8.41,0.65,0.59,1.34,24.1,74.4,6.59,0.029,0.32,95.4,4.28,0.36,72.4,16.2,5.48,1.59,4.33,0.0,4.48,15.90598,-16.29056,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.95,34.9,5.49,40.2,306.0,62.2,24.1,3.91,0.33,0.28,0.55,11.7,53.9,2.32,0.011,0.14,95.7,3.92,0.36,65.9,22.3,4.44,2.19,4.45,0.75,2.95,15.90508,-16.28781,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.63,18.4,1.98,40.5,374.0,82.8,34.1,3.55,0.47,0.25,0.25,5.72,91.1,3.0,0.012,0.12,94.6,5.0,0.36,62.4,23.0,3.46,0.83,4.77,5.55,2.71,15.90508,-16.28781,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,7.08,41.6,5.8,64.0,708.0,112.0,52.5,4.36,0.50,0.46,0.38,11.0,91.7,4.9,0.017,0.17,89.6,10.0,0.36,72.3,19.1,3.35,0.98,4.32,0.0,3.79,15.90699,-16.28663,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,7.21,63.8,11.5,61.8,578.0,96.7,34.7,5.22,0.37,0.39,0.60,5.8,72.1,4.05,0.014,0.16,89.6,10.0,0.36,71.4,19.9,3.91,0.62,4.19,0.0,3.59,15.90699,-16.28663,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.88,30.1,1.95,84.4,610.0,118.0,68.1,4.25,0.41,0.32,0.20,9.03,66.6,4.58,0.015,0.18,89.6,5.0,5.36,66.6,21.5,4.73,0.86,4.52,1.8,3.1,15.90916,-16.28557,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.74,39.7,5.25,60.9,491.0,103.0,55.5,4.38,0.43,0.36,0.40,5.36,68.6,3.82,0.016,0.19,89.6,9.64,0.72,64.3,22.5,4.09,0.61,4.66,3.9,2.86,15.90916,-16.28557,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.92,32.0,2.06,75.3,526.0,104.0,32.8,3.72,0.50,0.29,0.26,11.9,49.2,3.97,0.012,0.14,89.6,2.48,7.88,66.3,21.8,4.87,1.3,4.48,1.2,3.03,15.90891,-16.28388,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,7.15,46.6,3.69,71.0,426.0,81.7,32.0,3.95,0.47,0.28,0.28,7.68,51.0,3.16,0.015,0.17,89.6,2.48,7.88,67.4,21.5,5.76,1.06,4.25,0.0,3.13,15.90891,-16.28388,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.85,29.0,23.7,95.1,704.0,135.0,29.1,4.33,2.10,0.30,0.28,7.49,71.6,5.28,0.017,0.19,93.6,3.92,2.52,66.7,21.3,4.62,0.62,4.55,2.25,3.13,15.96,-16.32392,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,7.04,54.0,34.7,102,607.0,129.0,30.6,5.64,1.39,0.33,0.46,9.1,73.5,4.61,0.021,0.23,93.6,3.92,2.52,65.8,23.3,5.67,0.86,4.36,0.0,2.82,15.96,-16.32392,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,7.06,38.1,7.01,44.9,235.0,53.0,10.1,3.15,0.29,0.28,0.31,9.83,35.2,1.86,< 0.01,0.091,93.9,3.92,2.16,63.3,23.8,6.21,2.3,4.34,0.0,2.66,15.95507,-16.3218,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.64,16.5,2.4,33.9,214.0,45.7,8.39,2.49,0.29,0.19,< 0.20,3.44,33.7,1.73,< 0.01,0.068,93.9,3.92,2.16,61.9,22.0,5.03,0.87,4.76,5.4,2.81,15.95507,-16.3218,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.43,22.3,2.49,79.9,568.0,224.0,44.8,4.78,0.50,0.24,0.23,15.8,98.9,5.76,0.015,0.14,87.8,4.64,7.52,49.3,32.4,3.56,1.19,4.97,8.55,1.52,15.94459,-16.32359,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.62,34.5,5.43,57.0,496.0,175.0,42.1,4.78,0.44,0.24,0.28,8.51,90.0,4.6,0.016,0.17,93.9,3.92,2.16,53.9,31.7,3.17,0.8,4.78,5.7,1.7,15.94459,-16.32359,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.04,12.8,9.39,42.8,215.0,41.2,6.32,2.68,0.32,0.23,0.34,9.1,41.5,1.95,< 0.01,0.096,93.6,3.92,2.52,55.1,17.6,5.62,2.03,5.32,14.4,3.13,15.94299,-16.3258,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.53,30.6,11.7,51.0,228.0,46.2,10.9,2.91,0.27,0.22,0.36,4.58,41.6,1.9,0.014,0.15,92.8,5.36,1.8,59.9,20.2,6.87,1.05,4.87,7.05,2.96,15.94299,-16.3258,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.7,35.1,1.84,95.0,892.0,215.0,28.3,5.58,0.38,0.29,0.34,22.9,93.5,7.26,0.014,0.15,88.6,3.92,7.52,61.4,24.7,3.35,1.37,4.7,4.5,2.49,15.91451,-16.32771,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.55,27.3,3.27,105,679.0,175.0,27.7,6.11,0.44,0.29,0.49,27.4,86.5,5.93,0.015,0.17,93.6,4.28,2.16,57.3,24.6,4.54,2.01,4.85,6.75,2.33,15.91451,-16.32771,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.25,21.5,2.18,45.1,294.0,152.0,9.14,4.97,0.31,0.29,0.28,20.7,37.8,3.52,0.011,0.12,90.4,4.28,5.36,41.8,36.0,3.29,2.56,5.15,11.3,1.16,16.22179,-15.69281,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.43,31.3,4.8,65.2,256.0,98.0,19.3,4.29,0.26,0.39,0.42,10.2,37.5,2.67,0.013,0.15,90.4,4.28,5.36,48.0,30.6,6.26,1.66,4.97,8.55,1.57,16.22179,-15.69281,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.69,21.4,8.66,40.5,212.0,63.8,41.3,3.45,0.32,0.22,0.49,9.48,42.7,1.92,0.019,0.23,89.6,10.0,0.36,55.3,27.7,5.42,2.15,4.71,4.65,1.99,16.22552,-15.69277,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.54,20.0,5.27,40.3,225.0,67.0,45.8,3.27,0.36,0.20,0.46,8.07,46.4,2.06,0.011,0.15,95.7,3.92,0.36,54.5,27.0,5.01,1.7,4.86,6.9,2.01,16.22552,-15.69277,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.09,13.0,3.36,21.0,126.0,36.8,12.0,2.01,< 0.20,0.12,0.40,4.15,32.2,1.24,0.012,0.11,95.4,4.28,0.36,50.7,24.7,4.33,1.45,5.22,13.7,2.05,15.82044,-16.35885,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.29,8.0,2.86,16.1,167.0,45.9,17.6,2.5,0.27,0.16,0.49,4.42,38.6,1.52,< 0.01,0.1,95.0,4.28,0.72,55.0,25.2,2.72,1.27,5.11,10.7,2.18,15.82044,-16.35885,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.43,16.3,4.1,32.3,306.0,85.4,32.7,3.75,0.48,0.19,0.42,5.21,40.2,2.71,0.013,0.14,90.0,9.28,0.72,56.4,26.2,3.05,0.83,4.97,8.55,2.15,16.2271,-15.68482,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.45,17.0,3.13,27.0,467.0,145.0,28.2,3.91,0.53,0.18,0.35,6.97,43.6,4.363095630667766,< 0.01,0.14,85.4,9.28,5.36,48.70184666117065,18.240032976092333,3.940477328936521,2.1338169826875517,5.794101401483924,21.191075845012367,2.8354278647980213,16.2271,-15.68482,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.69,25.5,6.55,67.8,268.0,65.1,31.8,2.9,0.48,0.20,0.34,7.36,36.4,2.3,0.01,0.11,85.0,14.3,0.72,58.2,23.5,7.55,1.39,4.71,4.65,2.47,16.2215,-15.67787,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.58,21.0,7.12,86.6,214.0,50.1,31.1,3.27,0.37,0.23,0.68,9.05,31.2,1.97,0.013,0.13,90.4,9.28,0.36,54.4,21.2,11.3,2.0,4.82,6.3,2.56,16.2215,-15.67787,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.76,12.1,2.74,61.9,420.0,121.0,11.3,7.56,0.57,0.18,1.54,14.0,97.1,4.63,0.029,0.35,95.4,4.28,0.36,45.4,21.8,3.43,1.32,5.88,22.2,2.08,15.81758,-16.35901,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.39,22.7,6.61,28.6,466.0,134.0,35.9,5.71,0.70,0.12,3.44,5.5,80.8,4.13,0.03,0.35,90.4,5.0,4.64,56.4,27.0,1.78,0.58,5.01,9.15,2.09,15.81758,-16.35901,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.32,26.2,1.89,54.4,275.0,74.6,18.0,3.55,0.28,0.16,0.67,7.67,91.0,2.56,0.02,0.21,95.4,4.28,0.36,53.7,24.3,5.45,1.3,5.08,10.2,2.21,15.82149,-16.35707,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.43,12.8,0.91,55.9,228.0,63.5,11.8,5.56,0.24,0.13,0.48,9.76,115.0,3.02,0.025,0.26,95.4,3.92,0.72,37.7,17.5,4.74,1.4,6.54,32.1,2.15,15.82149,-16.35707,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.78,34.5,14.7,80.7,428.0,107.0,35.3,6.54,0.35,0.36,0.87,12.0,46.5,3.57,0.022,0.23,95.7,3.56,0.72,59.9,25.0,5.79,1.46,4.62,3.3,2.4,16.51221,-15.4011,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,7.62,181.0,24.6,69.4,431.0,68.9,44.8,13.3,0.43,0.29,11.3,30.9,45.9,3.16,0.02,0.34,95.7,3.56,0.72,68.2,18.2,5.63,4.25,3.78,0.0,3.75,16.51221,-15.4011,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.71,13.8,2.64,16.3,160.0,36.7,15.1,1.81,0.35,0.12,0.27,3.96,37.1,1.28,0.011,0.11,95.7,3.92,0.36,62.5,23.9,3.26,1.34,4.69,4.35,2.62,15.82324,-16.35531,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.87,22.2,5.13,24.6,182.0,39.3,17.6,2.49,0.33,0.16,0.58,8.27,38.6,1.43,0.033,0.43,95.7,3.92,0.36,63.7,22.9,4.41,2.52,4.53,1.95,2.78,15.82324,-16.35531,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.98,36.7,11.0,73.1,354.0,89.8,39.2,5.2,0.46,0.27,0.88,7.91,52.1,2.88,< 0.01,0.089,85.4,9.28,5.36,61.5,26.0,6.52,1.2,4.42,0.3,2.37,16.52141,-15.37027,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.97,25.4,4.43,79.4,301.0,56.7,39.3,3.1,0.44,0.22,0.39,8.55,40.0,2.33,0.016,0.16,90.7,4.28,5.0,64.5,20.3,8.73,1.59,4.43,0.45,3.19,16.52141,-15.37027,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,7.07,41.6,6.42,79.7,263.0,63.4,30.9,3.48,0.29,0.29,0.58,6.47,37.5,2.17,< 0.01,0.11,90.7,8.56,0.72,60.6,24.3,9.42,1.3,4.33,0.0,2.49,16.51634,-15.35991,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.84,30.1,2.66,101,248.0,58.5,32.3,2.85,0.27,0.22,0.34,9.28,37.4,2.18,0.013,0.4198239436619719,90.4,4.64,5.0,56.9,22.4,11.9,1.85,4.56,2.4,2.54,16.51634,-15.35991,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.67,13.7,4.09,31.8,164.0,42.7,8.46,2.9,0.24,0.36,0.60,12.6,32.5,1.45,< 0.01,0.097,95.7,3.92,0.36,56.4,24.5,5.61,3.77,4.73,4.95,2.3,15.82524,-16.35555,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.23,11.7,2.28,20.4,169.0,59.1,12.0,2.61,0.28,0.15,0.39,6.23,40.0,1.7,< 0.01,0.083,95.4,4.28,0.36,49.7,28.9,3.07,1.59,5.17,11.6,1.72,15.82524,-16.35555,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.53,26.5,8.57,69.7,308.0,96.0,53.8,4.61,0.36,0.27,0.61,14.0,46.5,2.93,0.014,0.16,93.2,4.64,2.16,52.6,27.3,6.1,2.08,4.87,7.05,1.93,16.21558,-15.69205,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.51,20.2,4.16,56.3,376.0,115.0,64.3,4.27,0.43,0.28,0.39,16.8,52.2,3.48,0.014,0.14,93.2,4.28,2.52,54.0,27.5,4.15,2.1,4.89,7.35,1.96,16.21558,-15.69205,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.38,18.4,3.13,32.6,232.0,64.4,50.1,3.48,0.36,0.12,< 0.20,5.59,43.8,2.11,0.011,0.11,93.9,3.92,2.16,55.1,25.5,3.97,1.15,5.02,9.3,2.16,16.21726,-15.69415,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.67,34.9,6.76,66.8,213.0,60.3,37.4,3.9,0.40,0.31,0.42,14.7,41.0,2.0,0.011,0.12,93.9,3.92,2.16,53.4,25.2,8.58,3.2,4.73,4.95,2.12,16.21726,-15.69415,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.83,26.8,5.12,22.1,289.0,78.1,48.3,4.23,0.29,0.19,0.23,4.38,40.9,2.34,0.011,0.13,88.9,9.28,1.8,61.8,27.8,2.42,0.81,4.57,2.55,2.22,16.22795,-15.69129,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.7,33.8,7.4,36.2,253.0,71.4,55.0,4.34,0.29,0.21,0.31,8.09,45.1,2.19,0.012,0.13,88.9,9.28,1.8,57.8,27.2,4.24,1.61,4.7,4.5,2.13,16.22795,-15.69129,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.91,21.1,3.12,64.0,212.0,56.4,35.8,3.51,0.36,0.22,< 0.20,8.22,34.9,1.84,0.01,0.12,88.9,9.28,1.8,57.7,25.6,8.93,1.95,4.49,1.35,2.26,16.23,-15.68827,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.99,35.8,8.33,13.4,267.0,71.2,45.6,4.26,0.29,0.20,0.39,3.5,39.4,2.07,0.017,0.21,93.2,4.28,2.52,64.4,28.6,1.66,0.73,4.41,0.15,2.25,16.23,-15.68827,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.85,37.5,6.19,23.8,331.0,74.4,57.1,5.06,0.52,0.25,0.64,7.28,37.2,2.54,0.018,0.21,89.6,8.56,1.8,65.1,24.4,2.4,1.25,4.55,2.25,2.67,16.23223,-15.68996,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.82,16.6,2.85,48.6,323.0,63.2,61.1,3.56,0.36,0.19,< 0.20,5.59,40.6,2.47,0.011,0.13,90.0,7.84,2.16,65.4,21.3,5.04,0.98,4.58,2.7,3.07,16.23223,-15.68996,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,7.02,22.9,5.08,49.3,265.0,65.0,68.7,3.2,0.44,0.18,< 0.20,5.05,39.8,2.11,< 0.01,0.11,94.6,3.92,1.44,62.9,25.7,6.0,1.04,4.38,0.0,2.45,16.21564,-15.66857,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.92,23.5,13.1,17.6,279.0,76.8,56.2,4.45,0.34,0.17,0.40,3.84,40.4,2.22,0.012,0.15,90.0,8.92,1.08,62.8,28.8,2.03,0.75,4.48,1.2,2.18,16.21564,-15.66857,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.91,25.3,7.1,24.7,228.0,56.1,41.9,3.37,0.34,0.21,0.24,4.76,46.9,1.8,0.014,0.15,94.6,4.28,1.08,63.5,26.0,3.53,1.15,4.49,1.35,2.44,16.20584,-15.67067,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,7.14,49.1,12.8,9.37,267.0,60.0,34.6,3.97,0.23,0.20,0.52,3.71,39.6,1.96,0.016,0.19,94.6,4.28,1.08,68.2,25.5,1.23,0.82,4.26,0.0,2.67,16.20584,-15.67067,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.55,31.7,4.52,8.00,293.0,94.7,45.8,4.54,0.33,0.20,< 0.20,6.27,45.8,2.6,0.013,0.14,89.6,9.28,1.08,56.3,30.3,0.79,1.05,4.85,6.75,1.86,16.21134,-15.69965,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.49,38.0,6.21,11.6,275.0,83.3,35.6,5.1,0.22,0.21,0.30,5.51,43.4,2.43,0.019,0.21,89.6,8.92,1.44,56.6,28.6,1.23,0.99,4.91,7.65,1.98,16.21134,-15.69965,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.64,20.1,5.67,1.77,210.0,68.5,42.5,4.27,< 0.20,0.16,0.39,1.58,38.1,1.82,0.013,0.15,90.0,8.92,1.08,57.8,31.4,0.25,0.38,4.76,5.4,1.84,16.2149,-15.70764,Saint-Louis,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
